Site,CrawlName,CrawlEnable,Check
https://moeni.org/,,ani,
https://blacktoon138.com/,,captcha,
https://newtoki95.com,,captcha,
https://blacktoon.net,,captcha,
https://hodu235.com,,dynamic,
https://toonbook.net,,link site,
https://freewebtoon3.com/,,not connected,
https://dangtoon59.com/,,not connected,
https://adulti148.com/,,not connected,
https://webkorea-01.link,,not connected,
https://flix13.net,,중복,
https://metoon43.com,,not connected,
https://marumaru.cloud,,not connected,
https://kktoon13.com,,not connected,
https://toonps.com,,not connected,
https://tkr028.com,,not connected,
https://funbe.sbs,,not connected,
https://bam205co.com,,not connected,
https://freewebtoon1.com,,not connected,
https://wfwf150.com,,not connected,
https://ww1.weani.net,,not connected,
https://toon52.xyz,,not connected,
https://realtoon10.link,,not connected,
http://5rs-a36.com,,not connected,
https://suretoon21.com,,not connected,
http://landy.parklogic.com,,not connected,
https://www.startoon5.com,,not connected,
https://wtbox01.com/,,not connected,
https://ohli365.com/,,not connected,
https://dangtoon55.com/,,not connected,
https://ntoon59.com/,,not connected,
http://metoon.shop/?pid=ilbe1004,,not connected,
https://www.webtoon11.com/,,not connected,
https://wtw10.world,,not connected,
https://dokkaebi000.com/,,not connected,
https://mong-toon.com/,,not connected,
https://wtoon25.com/,,not connected,
https://metoon43.com/,,not connected,
http://www.spotv40.com/,,not webtoon,
https://sektoon11.org,,not webtoon,
https://manatoki95.net,,not webtoon,
https://mangacat4.net,,not webtoon,
https://hitomi.la,,not webtoon,
http://www.11toon4.com,,not webtoon,
http://www.11toon4.net/,,not webtoon,
https://marumaru227.com/,,not webtoon,
https://moviezota5.club/,,not webtoon,
https://nhentai.net/,,not webtoon,
https://www.luscious.net/hentai-manga/,,not webtoon,
https://mangazuki.co/,,not webtoon,
https://dogcow11.com/,,not webtoon,
https://hot-ani.xyz/,,not webtoon,
https://batoon01.xyz/bbs/board.php?bo_table=toon_c&amp;sca=001,,not webtoon,
https://sektoon15.org/,,not webtoon,
https://hentaifox.com/,,not webtoon,
https://e-hentai.org/,,not webtoon,
https://www.seoultoon-25.me/,,not webtoon,
https://funbe25.com/%EB%AC%B4%EB%A3%8C%EC%9B%B9%ED%88%B0,,not webtoon,
https://hentaifreak.org/,,not webtoon,
http://99ocn.com/,,not webtoon,
