hosturl,webtoonName,crawltime,updatetime,episode,file_urls,extension
copytoon234.com,내 방에 사는 여자,2022-01-04 19:22,2022-01-04,50,https://cloudflare.africa.com/toon2/a1/img/2110/w_5240_49_1641228841_1.jpg,jpg
copytoon234.com,오메가 파일,2022-01-04 19:22,2022-01-03,10,https://cloudflare.africa.com/toon2/a1/img/2110/w_5385_10_1641218534_1.jpg,jpg
copytoon234.com,던전 마제스티,2022-01-04 19:22,2022-01-03,113,https://cloudflare.africa.com/toon2/a1/img/2110/w_4106_113_1641218748_1.jpg,jpg
copytoon234.com,빅 라이프,2022-01-04 19:22,2022-01-03,116,https://cloudflare.africa.com/toon2/a1/img/2110/w_3141_116_1641219130_1.jpg,jpg
copytoon234.com,나의 자리,2022-01-04 19:22,2022-01-03,35,https://cloudflare.africa.com/toon2/a1/img/2110/w_4820_35_1641219633_1.jpg,jpg
copytoon234.com,리버설,2022-01-04 19:22,2022-01-03,7,https://cloudflare.africa.com/toon2/a1/img/2110/w_5356_7_1641219984_1.jpg,jpg
copytoon234.com,로열 셰프 영애님,2022-01-04 19:22,2022-01-03,52,https://cloudflare.africa.com/toon2/a1/img/2110/w_3659_52_1641219325_1.jpg,jpg
copytoon234.com,나는 남주의 전 여친이었다,2022-01-04 19:22,2022-01-03,55,https://cloudflare.africa.com/toon2/a1/img/2110/w_4223_55_1641219490_1.jpg,jpg
copytoon234.com,도둑의 별,2022-01-04 19:22,2022-01-03,3,https://cloudflare.africa.com/toon2/a1/img/2110/w_5386_4_1641220429_1.jpg,jpg
copytoon234.com,언포기버블,2022-01-04 19:22,2022-01-03,34,https://cloudflare.africa.com/toon2/a1/img/2110/w_4825_34_1641220962_1.jpg,jpg
copytoon234.com,주재삼계: 절세 강자 환생기,2022-01-04 19:22,2022-01-03,108,https://cloudflare.africa.com/toon2/a1/img/2110/w_4187_104_1641220217_1.jpg,jpg
copytoon234.com,"그것들, 내 인생에서 삭제합니다",2022-01-04 19:22,2022-01-03,33,https://cloudflare.africa.com/toon2/a1/img/2110/w_4846_33_1641220223_1.jpg,jpg
copytoon234.com,로드 오브 머니,2022-01-04 19:22,2022-01-03,75,https://cloudflare.africa.com/toon2/a1/img/2110/w_4224_75_1641219189_1.jpg,jpg
copytoon234.com,천존! 도시에 재림하다,2022-01-04 19:22,2022-01-03,145,https://cloudflare.africa.com/toon2/a1/img/2110/w_3425_145_1641220162_1.jpg,jpg
copytoon234.com,스노우맨,2022-01-04 19:22,2022-01-04,55,https://cloudflare.africa.com/toon2/a1/img/2110/w_4759_16_1641226810_1.jpg,jpg
copytoon234.com,버그트레인,2022-01-04 19:22,2022-01-03,44,https://cloudflare.africa.com/toon2/a1/img/2110/w_4347_44_1641218692_1.jpg,jpg
copytoon234.com,다정한 그대를 지키는 방법,2022-01-04 19:22,2022-01-03,50,https://cloudflare.africa.com/toon2/a1/img/2110/w_5248_50_1641220142_1.jpg,jpg
copytoon234.com,일기예보적 연애,2022-01-04 19:22,2022-01-04,5,https://cloudflare.africa.com/toon2/a1/img/2110/w_5346_5_1641234002_1.jpg,jpg
copytoon234.com,섹서사이즈,2022-01-04 19:22,2022-01-04,78,https://cloudflare.africa.com/toon2/a1/img/2110/w_2626_78_1641226952_1.jpg,jpg
copytoon234.com,미필적 고의에 의한 연애사,2022-01-04 19:22,2022-01-04,26,https://cloudflare.africa.com/toon2/a1/img/2110/w_4800_26_1641234201_1.jpg,jpg
copytoon234.com,입학용병,2022-01-04 19:22,2022-01-03,62,https://cloudflare.africa.com/toon2/a1/img/2110/w_3953_62_1641209699_1.jpg,jpg
copytoon234.com,역공,2022-01-04 19:22,2022-01-04,31,https://cloudflare.africa.com/toon2/a1/img/2110/w_4335_31_1641234865_1.jpg,jpg
copytoon234.com,익애 ~봉황애사~,2022-01-04 19:22,2022-01-03,129,https://cloudflare.africa.com/toon2/a1/img/2110/w_3389_129_1641216812_1.jpg,jpg
copytoon234.com,재앙급 사도와 12인의 신부 후보,2022-01-04 19:22,2022-01-03,99,https://cloudflare.africa.com/toon2/a1/img/2110/w_3971_99_1641216362_1.jpg,jpg
copytoon234.com,집착 서브 남주를 키웠습니다,2022-01-04 19:22,2022-01-03,20,https://cloudflare.africa.com/toon2/a1/img/2110/w_5337_21_1641217500_1.jpg,jpg
copytoon234.com,맛볼 수 없는 남자,2022-01-04 19:22,2022-01-03,36,https://cloudflare.africa.com/toon2/a1/img/2110/w_4828_37_1641220779_1.jpg,jpg
copytoon234.com,천박한 아내,2022-01-04 19:22,2022-01-04,12,https://cloudflare.africa.com/toon2/a1/img/2110/w_4503_13_1641228675_1.jpg,jpg
copytoon234.com,독서실 여사장,2022-01-04 19:22,2022-01-04,Boss of Reading Room raw Chapter 40,https://cloudflare.africa.com/toon2/a1/img/2110/w_4448_39_1641286468_1.jpg,jpg
copytoon234.com,전직법사,2022-01-04 19:22,2022-01-03,604,https://cloudflare.africa.com/toon2/a1/img/2110/w_2147_601_1641218263_1.jpg,jpg
copytoon234.com,B급 가이드,2022-01-04 19:22,2022-01-04,21,https://cloudflare.africa.com/toon2/a1/img/2110/w_4987_21_1641234578_1.jpg,jpg
copytoon234.com,정령사: 나타르 전기,2022-01-04 19:22,2022-01-04,78,https://cloudflare.africa.com/toon2/a1/img/2110/w_521_433_1641290255_1.jpg,jpg
copytoon234.com,절세전혼,2022-01-04 19:22,2022-01-04,72,https://cloudflare.africa.com/toon2/a1/img/2110/w_4844_72_1641235565_1.jpg,jpg
copytoon234.com,궁에 숨은 꽃,2022-01-04 19:22,2022-01-04,29,https://cloudflare.africa.com/toon2/a1/img/2110/w_5067_29_1641288356_1.jpg,jpg
copytoon234.com,의천도룡기,2022-01-04 19:22,2022-01-04,46,https://cloudflare.africa.com/toon2/a1/img/2110/w_4445_46_1641290608_1.jpg,jpg
copytoon234.com,전신귀환,2022-01-04 19:22,2022-01-04,125,https://cloudflare.africa.com/toon2/a1/img/2110/w_4794_125_1641224639_1.jpg,jpg
