crawltime,episode,extension,file_urls,files,hosturl,image_urls,images,updatetime,webtoonName
2021-12-07 15:27:31,119,jpg,https://zzolboo85.com/data/file/webtoon/15652355355536.jpg,,newtoon88.com,,,2019-08-22,트라이앵글
2021-12-07 15:27:31,119,jpg,https://zzolboo85.com/data/file/webtoon/15654268401902.jpg,,newtoon88.com,,,2019-08-22,트라이앵글
2021-12-07 15:27:31,119,jpg,https://zzolboo85.com/data/file/webtoon/15654018307725.jpg,,newtoon88.com,,,2019-08-22,트라이앵글
2021-12-07 15:27:52,119,jpg,https://zzolboo85.com/data/file/webtoon/15654289739564.jpg,,newtoon88.com,,,2019-08-22,스폰서
2021-12-07 15:27:52,119,jpeg,https://zzolboo85.com/data/file/webtoon/15663977415447.jpeg,,newtoon88.com,,,2019-08-22,스폰서
2021-12-07 15:28:03,84,jpg,https://zzolboo85.com/data/file/webtoon/15654079585543.jpg,,newtoon88.com,,,2019-09-10,사수생도 연애를 한다
2021-12-07 15:28:03,84,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-2/5238/%EB%8D%B0%EB%93%9C%ED%80%B8_65%ED%99%94/1638460109943sc1ld8oml1i.jpeg,,newtoon88.com,,,2019-09-10,사수생도 연애를 한다
2021-12-07 15:28:03,84,jpg,https://zzolboo85.com/data/file/webtoon/15652598344489.jpg,,newtoon88.com,,,2019-09-10,사수생도 연애를 한다
2021-12-07 15:28:03,84,jpg,https://zzolboo85.com/data/file/webtoon/15664020845805.jpg,,newtoon88.com,,,2019-09-10,사수생도 연애를 한다
2021-12-07 15:28:03,84,jpg,https://zzolboo85.com/data/file/webtoon/15652107787712.jpg,,newtoon88.com,,,2019-09-10,사수생도 연애를 한다
2021-12-07 15:28:03,84,jpeg,https://zzolboo85.com/data/file/webtoon/15664041628599.jpeg,,newtoon88.com,,,2019-09-10,사수생도 연애를 한다
2021-12-07 15:28:44,6,jpg,https://zzolboo85.com/data/file/webtoon/15664568901622.jpg,,newtoon88.com,,,2019-09-16,그들의 방주
2021-12-07 15:28:44,6,jpeg,https://zzolboo85.com/data/file/webtoon/15664035231128.jpeg,,newtoon88.com,,,2019-09-16,그들의 방주
2021-12-07 15:28:44,6,jpeg,https://zzolboo85.com/data/file/webtoon/15680510151154.jpeg,,newtoon88.com,,,2019-09-16,그들의 방주
2021-12-07 15:29:20,71,jpeg,https://zzolboo85.com/data/file/webtoon/15680973463926.jpeg,,newtoon88.com,,,2019-08-23,낯선 농담
crawltime,episode,extension,file_urls,files,hosturl,image_urls,images,updatetime,webtoonName
2021-12-07 15:37:41,20,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/6787/%EB%82%98%EC%9D%98_%EC%99%84%EB%B2%BD%ED%95%9C_%ED%8C%8C%ED%8A%B8%EB%84%88_15%ED%99%94/1638819496539j430sj5mlp.jpeg,,newtoon88.com,,,오늘,이혼녀
2021-12-07 15:37:41,20,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/9023/%EB%A3%A8%EB%82%98%EC%83%B5%EC%97%90_%EC%96%B4%EC%84%9C%EC%98%A4%EC%84%B8%EC%9A%94%EC%95%A0%EB%8B%88%EB%A9%80_%ED%9E%90_5%ED%99%94/1638820617747mgnf1ro4i6.jpeg,,newtoon88.com,,,오늘,이혼녀
2021-12-07 15:37:41,20,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-6/5046/%ED%95%9C%EB%A6%BC%EC%B2%B4%EC%9C%A1%EA%B4%80_80%ED%99%94/1638806002469mdmmuoagki8.jpeg,,newtoon88.com,,,오늘,이혼녀
2021-12-07 15:37:41,20,jpg,https://zzolboo85.com/data/file/download/img/2021-12-6/6230/%ED%9D%91%EB%B0%B1%EB%AC%B4%EC%83%81_96%ED%99%94/1638805925512dffpnbvfwzu.jpg,,newtoon88.com,,,오늘,이혼녀
2021-12-07 15:38:16,145,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/5263/0045__%ED%95%A9%EB%B0%A9_%ED%95%A0%EB%9E%98%EC%9A%94%EF%BC%9F_45%ED%99%94/1638819567335fjjccjvxy8b.jpeg,,newtoon88.com,,,오늘,선무제존
2021-12-07 15:38:16,145,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/6921/%EC%98%81%EC%A1%B4%EC%A7%80%EC%9E%90_94%ED%99%94/16388199684718f30wshfdg3.jpeg,,newtoon88.com,,,오늘,선무제존
2021-12-07 15:38:16,145,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/5658/0061__%EC%95%84%EB%82%B4%EB%A5%BC_%EB%B0%94%EA%BE%B8%EB%8B%A4_61%ED%99%94/1638819949883sezff4rrf9.jpeg,,newtoon88.com,,,오늘,선무제존
2021-12-07 15:38:16,145,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/5657/%EC%9E%85%EB%8C%80_%EC%A0%84%EC%9D%B4%EB%9D%BC_%EA%B8%89%ED%95%A9%EB%8B%88%EB%8B%A4_45%ED%99%94/1638819737974r528xqbk01.jpeg,,newtoon88.com,,,오늘,선무제존
2021-12-07 15:38:16,145,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/6323/%EC%97%AD%EC%B2%9C%EC%82%AC%EC%8B%A0_187%ED%99%94/163881997284627xmh89pvxf.jpeg,,newtoon88.com,,,오늘,선무제존
2021-12-07 15:38:16,145,jpg,https://zzolboo85.com/data/file/download/img/2021-12-6/5243/%ED%98%B8%EB%9E%91%EC%9D%B4%EA%BD%83_56%ED%99%94/16388059776382p9mtv0ei92.jpg,,newtoon88.com,,,오늘,선무제존
2021-12-07 15:38:46,45,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/4427/%EC%9D%BC%EC%A7%84%EB%8F%99%EC%B0%BD%EB%85%80_71%ED%99%94/1638819547269ymfry69y4n.jpeg,,newtoon88.com,,,2021-12-05,스택 오버플로우
2021-12-07 15:38:46,45,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/9018/%EC%9D%B4%ED%98%BC%EB%85%80_20%ED%99%94/16388198926502c9cf2ttdkl.jpeg,,newtoon88.com,,,2021-12-05,스택 오버플로우
2021-12-07 15:38:46,45,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/3770/%EC%95%84%EB%82%B4%EC%9D%98_%EC%B9%9C%EA%B5%AC_62%ED%99%94/163881979310705n9nqsjw59.jpeg,,newtoon88.com,,,2021-12-05,스택 오버플로우
2021-12-07 15:38:46,45,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/3649/%EC%B9%9C%EA%B5%AC_%EC%97%AC%EC%9E%90%EC%B9%9C%EA%B5%AC_62%ED%99%94/1638819742998p9h8mv777qs.jpeg,,newtoon88.com,,,2021-12-05,스택 오버플로우
2021-12-07 15:38:46,45,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-5/8633/%EB%A6%AC%EB%A7%A4%EC%B9%98_41%ED%99%94/16386699702407n2relhvvo5.jpeg,,newtoon88.com,,,2021-12-05,스택 오버플로우
2021-12-07 15:38:46,45,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/5048/%EB%84%88%EC%99%80_%EC%82%AC%EB%8A%94_%EC%98%A4%EB%8A%98_103%ED%99%94/1638819829225d453ptewf6l.jpeg,,newtoon88.com,,,2021-12-05,스택 오버플로우
crawltime,episode,extension,file_urls,files,hosturl,image_urls,images,updatetime,webtoonName
2021-12-07 15:40:09,56,jpg,https://zzolboo85.com/data/file/download/img/2021-12-6/5243/%ED%98%B8%EB%9E%91%EC%9D%B4%EA%BD%83_56%ED%99%94/16388059776382p9mtv0ei92.jpg,,newtoon88.com,,,오늘,호랑이꽃
2021-12-07 15:40:02,5,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/9023/%EB%A3%A8%EB%82%98%EC%83%B5%EC%97%90_%EC%96%B4%EC%84%9C%EC%98%A4%EC%84%B8%EC%9A%94%EC%95%A0%EB%8B%88%EB%A9%80_%ED%9E%90_5%ED%99%94/1638820617747mgnf1ro4i6.jpeg,,newtoon88.com,,,오늘,루나샵에 어서오세요 : 애니멀 힐
2021-12-07 15:40:11,96,jpg,https://zzolboo85.com/data/file/download/img/2021-12-6/6230/%ED%9D%91%EB%B0%B1%EB%AC%B4%EC%83%81_96%ED%99%94/1638805925512dffpnbvfwzu.jpg,,newtoon88.com,,,오늘,흑백무상
2021-12-07 15:40:16,45,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/5657/%EC%9E%85%EB%8C%80_%EC%A0%84%EC%9D%B4%EB%9D%BC_%EA%B8%89%ED%95%A9%EB%8B%88%EB%8B%A4_45%ED%99%94/1638819737974r528xqbk01.jpeg,,newtoon88.com,,,오늘,입대 전이라 급합니다
2021-12-07 15:40:18,15,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/6787/%EB%82%98%EC%9D%98_%EC%99%84%EB%B2%BD%ED%95%9C_%ED%8C%8C%ED%8A%B8%EB%84%88_15%ED%99%94/1638819496539j430sj5mlp.jpeg,,newtoon88.com,,,오늘,
2021-12-07 15:40:19,62,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/3770/%EC%95%84%EB%82%B4%EC%9D%98_%EC%B9%9C%EA%B5%AC_62%ED%99%94/163881979310705n9nqsjw59.jpeg,,newtoon88.com,,,오늘,아내의 친구
2021-12-07 15:40:14,62,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/3649/%EC%B9%9C%EA%B5%AC_%EC%97%AC%EC%9E%90%EC%B9%9C%EA%B5%AC_62%ED%99%94/1638819742998p9h8mv777qs.jpeg,,newtoon88.com,,,오늘,"친구, 여자친구"
2021-12-07 15:40:24,103,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/5048/%EB%84%88%EC%99%80_%EC%82%AC%EB%8A%94_%EC%98%A4%EB%8A%98_103%ED%99%94/1638819829225d453ptewf6l.jpeg,,newtoon88.com,,,오늘,너와 사는 오늘
2021-12-07 15:40:06,80,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-6/5046/%ED%95%9C%EB%A6%BC%EC%B2%B4%EC%9C%A1%EA%B4%80_80%ED%99%94/1638806002469mdmmuoagki8.jpeg,,newtoon88.com,,,오늘,한림체육관
2021-12-07 15:40:31,20,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/9018/%EC%9D%B4%ED%98%BC%EB%85%80_20%ED%99%94/16388198926502c9cf2ttdkl.jpeg,,newtoon88.com,,,오늘,이혼녀
2021-12-07 15:40:26,187,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/6323/%EC%97%AD%EC%B2%9C%EC%82%AC%EC%8B%A0_187%ED%99%94/163881997284627xmh89pvxf.jpeg,,newtoon88.com,,,오늘,역천사신
2021-12-07 15:40:28,94,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/6921/%EC%98%81%EC%A1%B4%EC%A7%80%EC%9E%90_94%ED%99%94/16388199684718f30wshfdg3.jpeg,,newtoon88.com,,,오늘,영존지자
2021-12-07 15:40:12,45,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/5263/0045__%ED%95%A9%EB%B0%A9_%ED%95%A0%EB%9E%98%EC%9A%94%EF%BC%9F_45%ED%99%94/1638819567335fjjccjvxy8b.jpeg,,newtoon88.com,,,오늘,"합방, 할래요?"
2021-12-07 15:40:22,71,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/4427/%EC%9D%BC%EC%A7%84%EB%8F%99%EC%B0%BD%EB%85%80_71%ED%99%94/1638819547269ymfry69y4n.jpeg,,newtoon88.com,,,오늘,일진동창녀
2021-12-07 15:40:29,41,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-5/8633/%EB%A6%AC%EB%A7%A4%EC%B9%98_41%ED%99%94/16386699702407n2relhvvo5.jpeg,,newtoon88.com,,,2021-12-05,리매치
2021-12-07 15:41:30,145,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/6436/%EC%84%A0%EB%AC%B4%EC%A0%9C%EC%A1%B4_145%ED%99%94/1638820025954f1dqbgxyq8w.jpeg,,newtoon88.com,,,오늘,선무제존
2021-12-07 15:41:22,61,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-7/5658/0061__%EC%95%84%EB%82%B4%EB%A5%BC_%EB%B0%94%EA%BE%B8%EB%8B%A4_61%ED%99%94/1638819949883sezff4rrf9.jpeg,,newtoon88.com,,,오늘,아내를 바꾸다
2021-12-07 15:41:38,45,jpg,https://zzolboo85.com/data/file/download/img/2021-12-5/5689/%EC%8A%A4%ED%83%9D_%EC%98%A4%EB%B2%84%ED%94%8C%EB%A1%9C%EC%9A%B0_45%ED%99%94/1638670019588hsmkxic0189.jpg,,newtoon88.com,,,2021-12-05,스택 오버플로우
2021-12-07 15:42:12,55,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-5/5356/%EB%AC%B4%EB%8B%B9%EA%B8%B0%ED%98%91_55%ED%99%94/16386703799151qp4x59b4a4.jpeg,,newtoon88.com,,,2021-12-05,무당기협
2021-12-07 15:42:28,56,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-5/5383/%EB%9F%AC%EB%B8%8C%EB%9F%AC%EB%B8%8C_%EC%9B%90%EB%8D%94%EB%9E%9C%EB%93%9C_56%ED%99%94_3%EB%B6%80_11%ED%99%94/16386704413756gx4l5avit.jpeg,,newtoon88.com,,,2021-12-05,러브러브 원더랜드
2021-12-07 15:42:37,44,jpg,https://zzolboo85.com/data/file/download/img/2021-12-5/5254/LUST(%EB%9F%AC%EC%8A%A4%ED%8A%B8)_44%ED%99%94/1638670330441raica48a9e.jpg,,newtoon88.com,,,2021-12-05,LUST(러스트)
2021-12-07 15:42:40,106,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-5/4177/%EB%8C%80%EB%A7%88%EB%B2%95%EC%82%AC%EC%9D%98_%EB%94%B8_106%ED%99%94/1638670345372mxoilllafu.jpeg,,newtoon88.com,,,2021-12-05,대마법사의 딸
2021-12-07 15:42:42,30,jpg,https://zzolboo85.com/data/file/download/img/2021-12-5/6959/%EC%96%B4%EB%A6%B0_%EC%95%A0%EC%9D%B8_30%ED%99%94/1638670046744cxn3wxj04qa.jpg,,newtoon88.com,,,2021-12-05,어린 애인
2021-12-07 15:42:02,28,jpg,https://zzolboo85.com/data/file/download/img/2021-12-5/8638/%EC%84%A0%EB%85%80%ED%83%95_%EB%8F%84%EB%82%9C%EC%82%AC%EA%B1%B4_28%ED%99%94/1638670137097bd1e3pxjia.jpg,,newtoon88.com,,,2021-12-05,선녀탕 도난사건
2021-12-07 15:42:50,130,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-5/5314/%EB%82%98_%ED%98%BC%EC%9E%90_%EB%A7%8C%EB%A0%99_%EA%B7%80%ED%99%98%EC%9E%90_130%ED%99%94/1638670638146dzqbfx7viia.jpeg,,newtoon88.com,,,2021-12-05,나 혼자 만렙 귀환자
2021-12-07 15:42:56,91,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-5/4964/%EB%B0%A5%EB%A7%8C_%EB%A8%B9%EA%B3%A0_%EB%A0%88%EB%B2%A8%EC%97%85_91%ED%99%94/1638670417666w7rkhsp58r.jpeg,,newtoon88.com,,,2021-12-05,밥만 먹고 레벨업
2021-12-07 15:42:45,20,jpeg,https://zzolboo85.com/data/file/download/img/2021-12-5/4417/%EA%B0%93_%EC%98%A4%EB%B8%8C_%EB%B8%94%EB%9E%99%ED%95%84%EB%93%9C_%EC%8B%9C%EC%A6%8C2_20%ED%99%94/1638670550735jibxid9mj4.jpeg,,newtoon88.com,,,2021-12-05,갓 오브 블랙필드
